model,n,m,avg_deg,C,diam,apl
BA,40,111,5.55,0.24408602835073423,4,2.2025641025641027
BA,80,231,5.775,0.1258512321012321,4,2.5484177215189874
BA,120,351,5.85,0.09805556507762389,5,2.7112044817927172
BA,160,471,5.8875,0.07712408596500676,5,2.8150157232704403
BA,200,591,5.91,0.0789289701469268,5,2.8963316582914573
BA,240,711,5.925,0.06682505711325529,5,2.9819037656903764
