model,n,k,beta,m,avg_deg,C,diam,apl
WS,100,6,0.0,300,6.0,0.6,17,8.757575757575758
WS,100,6,0.05,300,6.0,0.5028809523809524,8,4.048484848484849
WS,100,6,0.1,300,6.0,0.3896825396825397,6,3.3785858585858586
WS,100,6,0.2,300,6.0,0.32147619047619047,6,3.1533333333333333
WS,100,6,0.4,300,6.0,0.15048629148629147,5,2.8583838383838382
WS,100,6,0.8,300,6.0,0.0596024531024531,5,2.7284848484848485
